Month,ZipCode,ZipName,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
1/1/2019 0:00,20895,"Kensington, MD",,568725,-0.052,0.0705,48,-0.0204,0.2632,67,0.2885,0.2762,24,2,0.7143,0,,,12,-0.25,1,0,,,661231,-0.0369,-0.0262,48,-0.0204,0.2632,0,0,0
1/1/2019 0:00,20901,"Silver Spring, MD",,454550,-0.0432,0.01,44,-0.2143,0.1579,54.75,-0.072,0.2807,24,0.5,0.2,0,,,10,-0.375,0.25,0,,,500635,0.0011,0.084,44,-0.2143,0.1579,0,0,0
1/1/2019 0:00,20902,"Silver Spring, MD",,391000,-0.0252,-0.0522,88.5,-0.25,0.6239,52.5,-0.0625,-0.1892,46,0.6429,1.0909,4,,,8,-0.7143,1,0,,,420281,0.0487,-0.0055,88.5,-0.25,0.6239,0,0,0
1/1/2019 0:00,20904,"Silver Spring, MD",,473800,0.0101,0.1415,62.5,-0.1071,0.1161,85.75,0.3192,0.1787,20,0.25,-0.2857,4,,,14,0.1667,2.5,0,,,453619,0.0138,0.0517,62.5,-0.1071,0.1161,0,0,0
1/1/2019 0:00,20905,"Silver Spring, MD",,517299.75,-0.0829,0.0203,26.5,-0.197,0.06,61.25,-0.2438,-0.4604,10,0.25,1.5,0,,,2,-0.5,-0.5,0,,,566248,-0.0438,-0.0213,26.5,-0.197,0.06,0,0,0
1/1/2019 0:00,20906,"Silver Spring, MD",*,350000,-0.0279,,146.5,-0.1629,0.0464,56.75,0.0913,0.0509,62,0.4091,0.1481,2,,,18,-0.25,-0.4,0,,,358699,0.0163,0.1583,146.5,-0.1629,0.0464,0,0,0
1/1/2019 0:00,20910,"Silver Spring, MD",,462498.5,-0.1105,0.0423,40.5,-0.25,-0.2768,65.5,0.048,-0.1603,10,-0.1667,-0.5,0,,,8,-0.5,-0.3333,0,,,485624,-0.0408,0.0108,40.5,-0.25,-0.2768,0,0,0
1/1/2019 0:00,20912,"Takoma Park, MD",,370049,-0.0931,-0.1929,34.5,-0.0143,0.1897,58,0.0087,-0.0252,18,1.25,0.2857,0,,,8,-0.3333,0.3333,0,,,407881,-0.0494,-0.1378,34.5,-0.0143,0.1897,0,0,0
1/1/2019 0:00,21001,"Aberdeen, MD",*,261050,0.0239,,100,0.0204,,79.75,0.276,,30,0.0714,0.3636,4,,-0.3333,34,1.125,0.8889,0,,,289229,0.0744,0.2911,100,0.0204,0.2739,0,0,0
1/1/2019 0:00,21009,"Abingdon, MD",*,259975,0.0401,,89,-0.1682,,69.5,0.0373,,38,0.5833,0.1875,0,-1,-1,20,-0.1667,-0.2308,0,,,291377,0.0475,0.0364,89,-0.1682,-0.2937,0,0,0
1/1/2019 0:00,21012,"Arnold, MD",,525025,0.0145,0.0617,72.5,-0.2204,-0.0764,90.5,0.1908,-0.0163,18,1.25,-0.25,2,,,16,-0.3333,-0.2,1,0,0,584617,0.0649,0.0197,73.5,-0.2181,-0.0755,0.0138,0.003,0.0011
