Month,StateID,State,Property Type,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Median List Price Per Sqft,Median List Price Per Sqft M/M,Median List Price Per Sqft Y/Y,Median Listing Sqft,Median Listing Sqft M/M,Median Listing Sqft Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y
201901,NY,New York,Single Family Home,367000,0.0194,0.1223,47787,-0.09,0.0384,106,0.0707,-0.0364,11040,0.325,0.1208,420,0.3636,0.1538,6520,0.1006,0.1846,3786,-0.1409,-0.0636,156,0.0085,0.0926,1916,-0.0029,0.0087,701400,0.0117,0.0001
201901,OH,Ohio,Single Family Home,160000,-0.0123,0.1034,32242,-0.1131,-0.0418,80,0.1429,-0.0698,8956,0.1223,0.0378,266,0.5465,-0.125,6130,-0.0087,0.1141,5906,-0.0117,0.0199,92,-0.0003,0.0241,1772,-0.0056,0.0735,236600,0.0034,0.0667
201901,OK,Oklahoma,Single Family Home,190000,0.0005,0.0561,15443,-0.0645,-0.0757,84,0.037,0.012,4496,0.2686,-0.0306,138,0.2321,-0.3551,2918,0.1258,-0.0445,1936,-0.0872,22.3253,99,0.0045,0.0396,1927,-0.0026,0.0089,261900,0.0096,0.08
201901,OR,Oregon,Single Family Home,414500,0.0112,0.0388,13092,-0.1048,0.0982,86,0.075,0,4584,0.4883,0.1003,310,0.6848,0.0915,2676,0.0896,0.2719,698,-0.0568,-0.2637,205,0.0035,0.0546,2033,0.0047,-0.0018,551900,0.0056,0.03
201901,PA,Pennsylvania,Single Family Home,190000,-0.0251,0.016,37485,-0.0696,0.0235,106,0.1042,-0.0536,8672,0.2974,0.1414,452,0.5479,0.0226,5968,0.0711,0.0879,2014,-0.0783,0.1495,109,-0.0054,0.0051,1913,-0.0035,0.0007,285900,-0.0087,0.0211
201901,RI,Rhode Island,Single Family Home,342400,0.0074,0.01,3206,-0.1236,0.1417,75,0.1538,-0.0964,892,0.0721,0.1925,2,-0.875,-0.9,526,0.0273,0.4943,792,-0.0515,-0.0959,206,0.0033,0.0251,1680,0.0013,-0.0012,550900,0.0095,-0.0431
201901,SC,South Carolina,Single Family Home,275000,0,0.0409,27828,-0.0372,0.0024,96,0.0213,-0.0103,7320,0.6472,0.0984,930,0.3839,-0.1515,4838,0.2011,0.1697,2310,-0.0571,0.2568,128,0.0028,0.0662,2171,-0.0094,0.0049,407900,-0.0037,0.0532
201901,SD,South Dakota,Single Family Home,235500,0.0026,0.0261,2986,-0.068,-0.0057,86,0.075,0,770,0.4366,-0.0399,26,0.625,0.1818,286,0.5543,-0.0403,57,0.0556,13.25,117,0.0061,0.054,2016,-0.004,-0.0071,291200,0.0017,-0.0065
201901,TN,Tennessee,Single Family Home,269900,0.0033,0.08,30272,-0.065,0.0809,81,0.0946,-0.0241,9044,0.313,0.2084,596,0.3545,0.0383,5254,0.1066,0.2409,3964,-0.0653,-0.0003,129,0.011,0.0995,2139,-0.0081,0.0071,363100,0.0041,0.0645
201901,TX,Texas,Single Family Home,280000,0,0.0182,94040,-0.0559,0.0967,80,0.0667,-0.0123,32540,0.3901,0.1517,3596,0.031,0.062,22282,0.2538,0.3056,20914,-0.1385,-0.0474,124,0.0029,0.0455,2258,-0.0044,-0.0164,387900,-0.0054,0.0052
201901,UT,Utah,Single Family Home,399900,0.0073,0.0707,9364,-0.0741,0.1886,73,0.1061,0,3314,0.3406,0.1069,308,0.2623,-0.5781,2126,0.2685,0.5251,3308,-0.0721,-0.1546,141,0.0114,0.0819,2988,0.0144,0.0103,685300,0.0329,0.0187
201901,VA,Virginia,Single Family Home,299900,0,0.0166,29193,-0.1106,0.0049,98,0.0652,-0.0101,7516,0.4889,0.0427,476,0.6528,-0.2013,4308,0.2538,0.0507,4450,0.0385,0.0982,138,0.0031,0.0267,2195,0.0045,0.0277,418400,-0.0151,-0.0085
201901,VT,Vermont,Single Family Home,282400,-0.0091,0.0498,4267,-0.078,-0.0387,166,0.1067,-0.0726,444,0.5,0.1212,20,1.5,0.1111,326,0.3145,0.0867,8,0,-0.1111,137,-0.006,0.0339,2118,0.0075,0.0184,412100,0.0044,0.0216
201901,WA,Washington,Single Family Home,437500,0.0057,0.1605,13833,-0.1525,0.2692,76,0.0704,0.0133,5590,0.4788,0.0472,338,0.1118,-0.2555,2868,0.0156,0.5933,4364,-0.0838,-0.0799,204,-0.0007,0.1447,2165,0.0042,0.0093,614900,0.0154,0.1156
201901,WI,Wisconsin,Single Family Home,222500,0.0118,0.1131,19253,-0.1081,-0.0246,100,0.1364,-0.0826,4456,0.403,0.1333,106,1.4091,-0.0364,2270,0.0318,0.1453,373,0.0304,0.5101,119,0.0072,0.0687,1788,-0.0011,0.0068,297300,0.0068,0.0465
201901,WV,West Virginia,Single Family Home,165000,0,0.0577,7402,-0.0729,-0.0336,119,0.0721,-0.0246,1322,0.3435,0.0409,36,0.2857,0.2,852,0.1966,-0.007,673,0.006,0.2126,88,-0.0032,0.0171,1808,-0.0025,0.0311,233000,0.0047,0.0777
201901,WY,Wyoming,Single Family Home,250800,-0.0165,0.0052,3236,-0.083,-0.0566,124,0.0598,-0.0388,582,0.5156,-0.1046,24,2,0.0909,334,0.006,-0.2123,296,0.0386,0.1429,118,-0.0045,0.0294,2179,-0.0131,0.0088,545100,0.0037,0.1515
