Month,CBSACode,CBSATitle,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
1/1/2019 0:00,17460,"Cleveland-Elyria, OH",26,,170000,-0.0003,0.0642,6983.5,-0.0672,-0.007,81.5,0.1164,-0.0944,1952,0.1961,0.0529,66,0.65,0.1379,1298,-0.0313,0.0944,1238,-0.2003,-0.0973,255876,0.0042,0.0639,8221.5,-0.09,-0.0218,0.1773,-0.0295,-0.0177
1/1/2019 0:00,41700,"San Antonio-New Braunfels, TX",27,,285000,-0.0001,0.0183,9984.5,-0.0467,0.0914,74.5,0.0493,-0.0132,3500,0.3359,0.2036,710,1.0402,-0.1341,2810,0.1631,0.2997,2819,-0.0616,0.1321,370230,-0.0062,-0.0047,12803.5,-0.05,0.1001,0.2823,-0.0045,0.0102
1/1/2019 0:00,17140,"Cincinnati, OH-KY-IN",28,,231300,-0.0096,0.055,5770,-0.1074,0.0189,72.5,0.1508,-0.0881,2030,0.1456,0.0326,60,0.1538,-0.2105,1338,0.1455,0.0967,2870.5,-0.0665,-0.1062,316146,0.0051,0.0532,8640.5,-0.0942,-0.0264,0.4975,0.0218,-0.0696
1/1/2019 0:00,40900,"Sacramento--Roseville--Arden-Arcade, CA",29,*,449550,0.0011,0.0158,4713.5,-0.1345,0.2803,63.5,0.0763,0.1869,2268,0.3125,-0.0324,14,0.1667,0,124,0.0333,0.1923,2230.5,-0.1205,-0.1801,633032,0.0464,0.0198,6944,-0.13,0.0847,0.4732,0.0076,-0.2657
1/1/2019 0:00,28140,"Kansas City, MO-KS",30,,287050,0.0287,0.1085,7031,-0.0762,0.0594,86,0.1316,0.0617,2058,0.1747,0.0168,182,0.75,0.0111,1236,-0.0313,0.3066,2,0,-0.875,346657,0.011,0.0789,7033,-0.0762,0.0572,0.0003,0,-0.0021
1/1/2019 0:00,18140,"Columbus, OH",31,,229950,0,0.0393,5403,-0.1233,0.061,68.5,0.161,0,1722,0.1511,0.1434,80,0.5385,-0.2982,1068,-0.186,0.2775,24.5,-0.3553,-0.2576,300572,0.0016,0.0013,5427.5,-0.1247,0.0589,0.0045,-0.0016,-0.0019
1/1/2019 0:00,26900,"Indianapolis-Carmel-Anderson, IN",32,,239150,0.0174,0.093,5320.5,-0.0935,-0.0665,80,0.1111,0.0127,1842,0.1838,0.0938,84,0.5,-0.087,1448,0.1037,0.2526,1482.5,-0.0298,-0.2166,312269,0.0102,0.0607,6803,-0.0803,-0.1039,0.2786,0.0183,-0.0534
1/1/2019 0:00,29820,"Las Vegas-Henderson-Paradise, NV",33,,314994,-0.0155,0.0813,8880,0.016,0.0705,60.5,0.1,0.0254,4014,0.5368,0.2703,176,0.0233,-0.4465,3362,0.6448,2.0398,830.5,-0.1285,414.25,472785,-0.0143,0.0601,9710.5,0.0018,0.1704,0.0935,-0.0155,0.0933
1/1/2019 0:00,12420,"Austin-Round Rock, TX",34,,346933.5,-0.0061,-0.0363,7138.5,-0.0962,0.1222,78,0.0833,0.0196,2754,0.3825,0.1669,620,0.0764,0.1524,1928,0.1106,0.1463,1917,-0.0897,-0.0217,512518,-0.0017,-0.0839,9055.5,-0.0948,0.0883,0.2685,0.0019,-0.0395
1/1/2019 0:00,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",35,,349950,0,-0.0278,10571.5,-0.0549,0.3559,57,0.0962,0.0857,4030,0.4665,0.2867,352,0.7959,-0.0112,1978,0.0844,0.8047,3,0,0.5,491926,-0.0032,-0.002,10574.5,-0.0549,0.356,0.0003,0,0
